REEF_NAME,REEF_ID,Latitude,Longitude
BANFIELD REEF (NORTH),18105,-18.925,147.9
BANFIELD REEF (SOUTH),18105,-18.9416666666667,147.916666666667
BEAVER REEF,17051,-17.85,146.483333333333
BELL REEF,21435,-21.8166666666667,151.25
BEN REEF,20113,-20.0083333333333,150.325
BINSTEAD REEF,13034,-13.2166666666667,143.566666666667
BIRD ISLANDS REEF (NORTH),11167,-11.7666666666667,143.083333333333
BIRD ISLANDS REEF (SOUTH),11169,-11.7833333333333,143.083333333333
BLANCHARD REEF,13060,-13.4166666666667,143.75
BLU-LION REEF,21566,-21.825,152.633333333333
BOND REEF,19221,-19.925,150.316666666667
BORDER ISLAND REEF (NO 1),20067,-20.175,149.025
BOULDER REEF,15012,-15.4166666666667,145.425
BOULT REEF,23079,-23.7583333333333,152.266666666667
BOULTON REEF,20146,-20.475,150.291666666667
BOWDEN REEF,19019,-19.0333333333333,147.933333333333
BOWL REEF,18080,-18.5083333333333,147.533333333333
BOYDONG ISLAND REEF,11062,-11.4916666666667,143.025
BRAMBLE REEF,18029,-18.4166666666667,146.708333333333
BRESNAHAN REEF,17043,-17.67,146.166666666667
BRICK REEF,19149,-19.6083333333333,149.725
BRIGGS REEF (NO 4),20299,-20.6,150.441666666667
BROOMFIELD REEF,23048,-23.275,151.941666666667
BUGATTI REEF,20127,-20.1083333333333,150.2
CANNAN REEF,20144,-20.4833333333333,150.141666666667
CARTER REEF,14137,-14.55,145.583333333333
CASTOR REEF,19025,-19.025,148.325
CAT REEF,12143,-12.9916666666667,143.85
CAYLEY REEF,17023,-17.475,146.458333333333
CELEBRATION REEF,13041,-13.275,143.691666666667
CENTENERY REEF,21241,-21.2833333333333,152.333333333333
CENTIPEDE REEF,18088,-18.725,147.541666666667
CENTRAL REEF,21577,-21.925,152.516666666667
CHARITY REEF,19047,-19.3666666666667,148.333333333333
CHICKEN REEF,18086,-18.6583333333333,147.708333333333
CHINAMAN REEF(16024),16024,-16.2083333333333,145.8
CHINAMAN REEF(22102),22102,-22.0083333333333,152.658333333333
CLACK REEF,14017,-14.0666666666667,144.241666666667
COATES REEF,17011,-17.2,146.366666666667
COBHAM REEF (NORTH),19074,-19.3916666666667,148.875
COIL REEF,18046,-18.4416666666667,147.516666666667
CONDER REEF,19219,-19.9166666666667,150.2
COQUET REEF(14097),14097,-14.5416666666667,144.991666666667
CORBETT REEF,14016,-14,144.108333333333
CRAB REEF,19177,-19.725,149.708333333333
CREAL REEF,20297,-20.5333333333333,150.383333333333
CREDLIN REEFS (EAST),20287,-20.5416666666667,149.95
CREDLIN REEFS (WEST),20288,-20.5583333333333,149.925
CREECH REEF (NORTH),13118,-13.625,144.108333333333
CROTAN REEF,19031,-19.0833333333333,148.225
CURD REEF,12102,-12.5916666666667,143.55
CURLEW REEF,21334,-21.6,149.783333333333
DARLEY REEF,19043,-19.225,148.166666666667
DAVIE REEF,13130,-13.975,144.458333333333
DAVIES REEF,18096,-18.825,147.641666666667
DAY REEF,14089,-14.5,145.533333333333
DICKS REEF,22141,-22.3083333333333,152.658333333333
DIP REEF,18039,-18.4166666666667,147.458333333333
EAGLE REEF,18111,-18.8583333333333,148.075
EAST CAY REEF,21305,-21.4916666666667,152.558333333333
EDDY REEF,17047,-17.775,146.441666666667
EDGELL REEFS (NO 4),20128,-20.125,150.016666666667
EDGELL REEFS (NO 5),20112,-20.1416666666667,149.941666666667
EGRET REEF,15013,-15.475,145.416666666667
ELFORD REEF,16073,-16.92,146.266666666667
ELIZABETH REEF,19082,-19.3333333333333,149.05
ELLIS REEF,13059,-13.3833333333333,143.7
ELLISON REEF,17044,-17.725,146.4
ENDEAVOUR REEF,15089,-15.7833333333333,145.583333333333
ERSKINE REEF,23068,-23.5083333333333,151.775
ESCAPE (1),15094,-15.8833333333333,145.791666666667
ESCAPE (2),15094,-15.8833333333333,145.791666666667
EUSTON REEF,16063,-16.6916666666667,146.25
EVENING REEF,15095,-15.9083333333333,145.658333333333
EYE REEF,14134,-14.8916666666667,145.475
EYRIE REEF,14118,-14.7166666666667,145.375
FAIREY REEF (NO 1),19109,-19.525,148.941666666667
FAIRFAX ISLANDS REEF,23081,-23.8583333333333,152.366666666667
FAITH REEF,19044,-19.2833333333333,148.35
FANTOME (EUMILLI) ISLAND REEF,18053,-18.675,146.516666666667
FARADAY REEF,18041,-18.425,147.358333333333
FARQUHARSON REEF (NO 1),17063,-17.7833333333333,146.516666666667
FEATHER REEF,17034,-17.5333333333333,146.383333333333
FIFE REEF,13081,-13.6583333333333,143.725
FITZROY ISLAND REEF,16054,-16.925,145.983333333333
FITZROY REEF,23077,-23.625,152.158333333333
FLORA REEF,17010,-17.1833333333333,146.291666666667
